Date,Time,Open,High,Low,Close,Volume
2024.01.01,00:00,42283.58,42554.57,42261.02,42475.23,1271
2024.01.01,01:00,42475.23,42775.0,42431.65,42613.56,1196
2024.01.01,02:00,42613.57,42638.41,42500.0,42581.1,685
2024.01.01,03:00,42581.09,42586.64,42230.08,42330.49,794
2024.01.01,04:00,42330.5,42399.99,42209.46,42399.99,715
2024.01.01,05:00,42399.98,42406.0,42180.77,42234.01,736
2024.01.01,06:00,42234.01,42424.82,42208.68,42396.69,601
2024.01.01,07:00,42396.69,42500.0,42396.68,42492.46,653
2024.01.01,08:00,42492.46,42556.5,42452.58,42549.99,427
2024.01.01,09:00,42550.0,42699.32,42537.18,42649.69,879
2024.01.01,10:00,42649.69,42749.36,42628.0,42691.1,856
2024.01.01,11:00,42691.1,42762.39,42605.21,42690.2,785
2024.01.01,12:00,42690.21,42780.0,42611.45,42648.38,785
2024.01.01,13:00,42648.37,42748.0,42612.76,42715.54,497
2024.01.01,14:00,42715.54,42715.55,42580.0,42612.24,711
2024.01.01,15:00,42612.24,42847.07,42586.51,42783.05,942
2024.01.01,16:00,42783.05,42856.0,42664.42,42725.15,918
2024.01.01,17:00,42725.15,42824.9,42704.42,42812.7,677
2024.01.01,18:00,42812.71,43208.86,42812.7,43111.1,2143
2024.01.01,19:00,43111.1,43550.0,43103.64,43517.99,1947
2024.01.01,20:00,43517.98,43829.99,43510.71,43687.86,2905
2024.01.01,21:00,43687.85,43792.59,43480.76,43619.21,1541
2024.01.01,22:00,43619.22,43661.1,43361.6,43529.93,1024
2024.01.01,23:00,43529.94,44184.1,43529.93,44179.55,3475
2024.01.02,00:00,44179.55,45200.0,44148.34,45056.0,6986
2024.01.02,01:00,45056.0,45372.79,44686.0,44855.96,4397
2024.01.02,02:00,44855.96,45381.42,44855.95,45378.96,3016
2024.01.02,03:00,45378.96,45500.0,45131.1,45402.38,2693
2024.01.02,04:00,45402.38,45468.99,45170.0,45179.8,2268
2024.01.02,05:00,45179.8,45324.72,45121.96,45179.48,1617
2024.01.02,06:00,45179.48,45308.15,45130.0,45168.75,1390
2024.01.02,07:00,45168.75,45643.75,45168.74,45455.53,3112
2024.01.02,08:00,45455.52,45852.93,45326.6,45759.3,3323
2024.01.02,09:00,45759.3,45879.63,45631.1,45673.48,2096
2024.01.02,10:00,45673.48,45711.1,45431.52,45584.99,2069
2024.01.02,11:00,45585.0,45698.67,45200.0,45433.99,2538
2024.01.02,12:00,45433.99,45589.68,45271.04,45301.99,2128
2024.01.02,13:00,45302.0,45705.8,45264.39,45637.93,2253
2024.01.02,14:00,45637.92,45800.0,44970.0,45258.73,4553
2024.01.02,15:00,45258.73,45349.98,44833.33,45184.82,4301
2024.01.02,16:00,45184.83,45399.84,44890.11,45357.84,3052
2024.01.02,17:00,45357.84,45382.08,44950.48,44966.15,2540
2024.01.02,18:00,44966.16,45271.2,44944.0,45154.69,1806
2024.01.02,19:00,45154.7,45243.0,44790.96,45039.49,2347
2024.01.02,20:00,45039.49,45180.55,44742.96,44788.28,1940
2024.01.02,21:00,44788.27,45119.76,44600.0,45119.74,2043
2024.01.02,22:00,45119.74,45297.26,44840.01,44981.73,1591
2024.01.02,23:00,44981.72,45049.98,44802.01,44946.91,1080
2024.01.03,00:00,44946.91,45212.57,44862.11,45135.61,1410
2024.01.03,01:00,45135.61,45329.83,45102.72,45317.58,1166
2024.01.03,02:00,45317.58,45410.91,45211.73,45274.57,1434
2024.01.03,03:00,45274.57,45310.0,45151.91,45262.69,739
2024.01.03,04:00,45262.7,45272.16,45115.59,45183.45,796
2024.01.03,05:00,45183.45,45294.11,45118.91,45172.13,849
2024.01.03,06:00,45172.12,45363.19,45160.0,45326.93,1264
2024.01.03,07:00,45326.92,45384.84,44940.93,45011.77,1780
2024.01.03,08:00,45011.77,45200.0,45001.1,45200.0,1462
2024.01.03,09:00,45200.0,45500.0,45185.39,45344.67,2006
2024.01.03,10:00,45344.66,45398.37,45045.95,45151.91,1918
2024.01.03,11:00,45151.91,45174.07,43500.0,43702.88,7849
2024.01.03,12:00,43702.89,43716.0,40750.0,42789.38,20155
2024.01.03,13:00,42789.39,42820.92,42310.0,42529.4,5587
2024.01.03,14:00,42529.4,42532.0,42050.0,42179.99,4566
2024.01.03,15:00,42180.0,43009.02,42175.14,43000.01,5175
2024.01.03,16:00,43000.01,43567.92,42773.34,42992.67,6973
2024.01.03,17:00,42992.68,43034.59,42600.0,42906.0,2945
2024.01.03,18:00,42906.0,43050.0,42000.0,42255.72,3314
2024.01.03,19:00,42255.72,43011.1,42161.1,42596.67,3662
2024.01.03,20:00,42596.66,42846.17,42518.7,42721.02,1931
2024.01.03,21:00,42721.02,42966.27,42581.1,42917.62,1692
2024.01.03,22:00,42917.61,42941.1,42596.24,42749.68,1385
2024.01.03,23:00,42749.69,42845.23,42591.09,42845.23,1125
2024.01.04,00:00,42845.23,42983.77,42754.0,42874.01,1619
2024.01.04,01:00,42874.0,42936.79,42613.77,42708.01,1337
2024.01.04,02:00,42708.01,43219.36,42690.02,43138.49,1256
2024.01.04,03:00,43138.5,43220.56,43002.15,43102.8,1274
2024.01.04,04:00,43102.79,43200.0,42955.5,43149.99,1080
2024.01.04,05:00,43149.99,43273.08,43072.7,43183.74,971
2024.01.04,06:00,43183.74,43232.95,43086.59,43155.46,989
2024.01.04,07:00,43155.46,43261.64,42756.97,42763.08,2402
2024.01.04,08:00,42763.08,42975.38,42699.83,42849.66,1650
2024.01.04,09:00,42849.67,43084.38,42849.66,43007.74,1411
2024.01.04,10:00,43007.73,43100.0,42616.28,43073.26,2250
2024.01.04,11:00,43073.26,43233.81,42927.33,43176.32,1433
2024.01.04,12:00,43176.33,43423.95,43097.06,43378.12,2238
2024.01.04,13:00,43378.11,43484.84,43167.27,43346.68,1658
2024.01.04,14:00,43346.67,43753.15,43250.0,43676.07,2649
2024.01.04,15:00,43676.07,44329.99,43608.0,44051.1,5051
2024.01.04,16:00,44051.1,44134.8,43777.86,43915.71,2764
2024.01.04,17:00,43915.7,44225.75,43827.69,43990.01,2510
2024.01.04,18:00,43990.01,44152.09,43881.31,44048.96,1520
2024.01.04,19:00,44048.95,44437.5,43910.01,43956.48,2603
2024.01.04,20:00,43956.48,44690.0,43890.9,44113.68,3043
2024.01.04,21:00,44113.68,44589.04,44113.67,44430.86,2538
2024.01.04,22:00,44430.86,44729.58,44150.64,44318.0,2470
2024.01.04,23:00,44318.01,44355.22,44050.0,44151.1,1308
2024.01.05,00:00,44151.1,44248.47,43950.84,44211.1,1764
2024.01.05,01:00,44211.1,44284.0,42450.0,43376.0,5302
2024.01.05,02:00,43376.0,43972.86,43302.0,43506.0,3111
2024.01.05,03:00,43506.01,43770.0,43409.79,43465.21,1543
2024.01.05,04:00,43465.21,43629.99,43187.89,43589.88,1790
2024.01.05,05:00,43589.87,43723.13,43507.48,43644.15,947
2024.01.05,06:00,43644.16,43926.0,43578.08,43844.82,1112
2024.01.05,07:00,43845.08,43926.0,43715.93,43777.47,1099
2024.01.05,08:00,43777.48,43947.99,43771.1,43911.44,989
2024.01.05,09:00,43911.44,44324.8,43911.44,44147.21,2628
2024.01.05,10:00,44147.22,44157.03,43433.0,43628.18,1876
2024.01.05,11:00,43628.19,43916.8,43605.36,43771.34,1560
2024.01.05,12:00,43771.34,44110.07,43616.0,43882.52,1865
2024.01.05,13:00,43882.52,44096.49,43721.06,43986.01,1994
2024.01.05,14:00,43986.01,44062.36,43100.0,43486.04,3583
2024.01.05,15:00,43488.21,43801.1,43355.54,43500.01,2600
2024.01.05,16:00,43500.01,43592.64,43220.0,43225.99,2401
2024.01.05,17:00,43225.99,43627.57,43100.46,43609.53,2540
2024.01.05,18:00,43609.52,43690.12,43418.0,43610.07,1274
2024.01.05,19:00,43610.08,43808.07,43520.15,43600.0,1243
2024.01.05,20:00,43600.0,44357.46,43599.99,43955.07,2500
2024.01.05,21:00,43955.07,43971.1,43580.51,43946.26,1609
2024.01.05,22:00,43946.26,44048.64,43764.42,43967.44,1024
2024.01.05,23:00,43967.44,44318.61,43967.44,44145.11,1709
2024.01.06,00:00,44145.12,44214.42,43975.0,44068.8,879
2024.01.06,01:00,44068.79,44094.4,43906.19,43970.64,857
2024.01.06,02:00,43970.65,44009.24,43823.06,43909.31,718
2024.01.06,03:00,43909.31,44018.57,43812.5,43931.1,668
2024.01.06,04:00,43931.1,43971.1,43832.0,43850.0,422
2024.01.06,05:00,43850.01,43871.1,43588.0,43698.72,1174
2024.01.06,06:00,43698.72,43700.34,43425.0,43454.7,1659
2024.01.06,07:00,43454.7,43668.02,43397.05,43653.2,986
2024.01.06,08:00,43653.2,43744.37,43551.28,43692.33,813
2024.01.06,09:00,43692.33,43756.0,43636.7,43651.9,562
2024.01.06,10:00,43651.9,43771.1,43584.0,43694.48,677
2024.01.06,11:00,43694.47,43705.23,43616.02,43671.96,396
2024.01.06,12:00,43671.97,43750.0,43527.27,43607.96,531
2024.01.06,13:00,43607.95,43740.27,43542.0,43704.07,473
2024.01.06,14:00,43704.08,43920.08,43703.41,43828.21,998
2024.01.06,15:00,43828.2,43898.0,43791.1,43867.17,606
2024.01.06,16:00,43867.17,43978.78,43828.5,43872.34,762
2024.01.06,17:00,43872.35,44000.0,43842.97,43963.72,618
2024.01.06,18:00,43963.73,44148.58,43884.04,43995.89,883
2024.01.06,19:00,43995.89,44017.46,43830.88,43906.36,706
2024.01.06,20:00,43906.35,43961.33,43611.19,43826.44,727
2024.01.06,21:00,43826.45,43935.21,43723.76,43889.43,583
2024.01.06,22:00,43889.43,43928.0,43740.0,43878.61,480
2024.01.06,23:00,43878.62,43980.0,43732.5,43968.32,646
2024.01.07,00:00,43968.32,44259.29,43915.56,44119.11,1359
2024.01.07,01:00,44119.11,44160.0,43963.89,43967.72,668
2024.01.07,02:00,43967.71,44089.1,43833.4,43930.28,741
2024.01.07,03:00,43930.28,44034.92,43904.18,43940.41,627
2024.01.07,04:00,43940.41,44035.9,43885.24,44000.0,545
2024.01.07,05:00,44000.01,44067.84,43843.52,43885.47,519
2024.01.07,06:00,43885.48,44088.01,43858.0,44022.0,705
2024.01.07,07:00,44021.99,44100.0,43991.1,44080.0,576
2024.01.07,08:00,44080.0,44167.81,44000.0,44017.99,866
2024.01.07,09:00,44018.0,44065.0,43880.65,43938.9,745
2024.01.07,10:00,43938.9,43996.0,43906.91,43960.0,673
2024.01.07,11:00,43960.0,44118.19,43959.1,44061.1,738
2024.01.07,12:00,44061.1,44139.43,43969.62,44088.63,637
2024.01.07,13:00,44088.63,44449.98,44082.66,44409.31,2234
2024.01.07,14:00,44409.31,44480.59,44277.12,44402.0,1427
2024.01.07,15:00,44402.0,44431.1,43945.15,44047.57,1672
2024.01.07,16:00,44047.57,44185.0,43857.14,43922.0,1260
