scenario,symbol,regime,mechanism,arm,repeat,kb_entries,chosen_idx,chosen_name,holdout_score,holdout_trades,best_holdout,regret,error
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,N,1,0,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,N,2,0,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,N,3,0,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,A,1,15,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,A,2,15,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,A,3,15,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,B,1,15,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,B,2,15,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,B,3,15,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,C,1,13,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,C,2,13,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|high_vol|momentum,BTC/USDT,high_vol,momentum,C,3,13,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|trending_bull|mean_reversion,BTC/USDT,trending_bull,mean_reversion,N,1,0,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
BTC/USDT|trending_bull|mean_reversion,BTC/USDT,trending_bull,mean_reversion,N,2,0,0,MACD_DeathCross_Short_Mid,1.0207,28,1.8607,0.84,
