arm,case,repeat,error,json_valid,verdict,score,deployed,correct,in_tokens,out_tokens,latency_s
ollama_local,bad,1,,True,probation,0.59,True,False,1952,384,23.84
ollama_local,bad,2,,True,probation,0.29,True,False,1952,702,36.51
ollama_local,bad,3,,True,probation,0.64,True,False,1952,244,12.56
ollama_local,bad,4,,True,fail,0.19,False,True,1952,322,16.04
ollama_local,bad,5,,True,probation,0.58,True,False,1952,366,17.59
ollama_local,bad,6,,False,,,,,1952,833,41.02
ollama_local,bad,7,,False,,,,,1952,576,26.36
ollama_local,bad,8,,False,,,,,1952,644,29.08
ollama_local,bad,9,,True,fail,0.08,False,True,1952,927,42.8
ollama_local,overfitted,1,,False,,,,,1968,886,49.53
ollama_local,overfitted,2,,True,fail,0.33,False,True,1968,532,26.31
ollama_local,overfitted,3,,False,,,,,1968,900,51.05
ollama_local,overfitted,4,,True,fail,0.0,False,True,1968,1209,61.23
ollama_local,overfitted,5,,False,,,,,1968,598,29.18
ollama_local,overfitted,6,,True,pass,0.44,True,False,1968,362,17.92
ollama_local,overfitted,7,,False,,,,,1968,689,31.85
ollama_local,overfitted,8,,False,,,,,1968,668,31.37
ollama_local,overfitted,9,,False,,,,,1968,525,26.41
ollama_local,solid,1,,True,pass,0.86,True,True,1974,601,31.05
ollama_local,solid,2,,True,pass,0.74,True,True,1974,320,14.91
ollama_local,solid,3,,True,pass,0.8,True,True,1974,559,27.51
ollama_local,solid,4,,True,probation,0.36,True,True,1974,759,36.54
ollama_local,solid,5,,True,fail,0.0,False,False,1974,307,14.88
ollama_local,solid,6,,True,probation,0.65,True,True,1974,447,21.63
ollama_local,solid,7,,True,pass,0.53,True,True,1974,843,41.03
ollama_local,solid,8,,False,,,,,1974,546,26.38
ollama_local,solid,9,ReadTimeout: timed out,,,,,,,,
ollama_local,borderline,1,,True,probation,0.27,True,,1952,882,58.72
ollama_local,borderline,2,,False,,,,,1952,743,39.75
ollama_local,borderline,3,,False,,,,,1952,290,15.89
ollama_local,borderline,4,,True,pass,0.73,True,,1952,472,21.04
ollama_local,borderline,5,,False,,,,,1952,719,32.37
ollama_local,borderline,6,,False,,,,,1952,1754,83.44
ollama_local,borderline,7,,False,,,,,1952,1341,61.51
ollama_local,borderline,8,,True,probation,0.61,True,,1952,297,14.08
ollama_local,borderline,9,,False,,,,,1952,1054,47.58
